slno,vehicle_type,brand,model,engine_type,make_year,region,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,cost
118,car,honda,jazz,petrol,2017,chennai,60000,60347,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6397
119,car,honda,jazz,petrol,2017,chennai,60000,61372,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6495
120,car,honda,jazz,petrol,2017,chennai,60000,60437,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6402
121,car,honda,jazz,petrol,2017,chennai,70000,70262,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4633
122,car,honda,jazz,petrol,2017,chennai,70000,70373,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4643
123,car,honda,jazz,petrol,2017,chennai,70000,70764,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4532
124,car,honda,jazz,petrol,2017,chennai,70000,70384,1,1,1,0,1,0,0,0,0,0,1,0,1,0,4489
125,car,honda,jazz,petrol,2017,chennai,70000,70976,1,1,1,0,1,0,0,0,0,0,1,0,1,0,4578
126,car,honda,jazz,petrol,2017,chennai,70000,71253,1,1,1,0,1,0,0,0,0,0,1,0,1,0,4631
127,car,honda,jazz,petrol,2017,chennai,70000,70311,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4639
128,car,honda,jazz,petrol,2017,chennai,70000,70789,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4703
129,car,honda,jazz,petrol,2017,chennai,70000,70098,1,1,1,0,1,0,0,1,0,0,0,0,1,0,4539
130,car,honda,jazz,petrol,2017,chennai,70000,69432,1,1,1,0,1,0,0,1,0,0,0,0,1,0,4597
131,car,honda,jazz,petrol,2017,chennai,70000,70894,1,1,1,0,1,0,0,1,0,0,0,0,1,0,4583
132,car,honda,jazz,petrol,2017,chennai,70000,70753,1,1,1,0,0,0,0,1,0,0,0,0,1,0,4633
133,car,honda,jazz,petrol,2017,chennai,70000,70756,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4643
134,car,honda,jazz,petrol,2017,chennai,70000,70890,1,1,1,0,0,0,0,0,1,0,0,0,1,0,4532
135,car,honda,jazz,petrol,2017,chennai,70000,70473,1,1,1,0,0,0,0,0,1,0,0,0,1,0,4489
136,car,honda,jazz,petrol,2017,chennai,70000,70985,1,1,1,0,0,1,0,0,1,0,0,0,1,0,4578
137,car,honda,jazz,petrol,2017,chennai,70000,70342,1,1,1,0,0,1,0,0,1,0,0,0,1,0,4631
138,car,honda,jazz,petrol,2017,chennai,70000,70033,1,1,1,0,0,1,0,0,0,0,0,0,1,0,4639
139,car,honda,jazz,petrol,2017,chennai,70000,70653,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4703
140,car,honda,jazz,petrol,2017,chennai,70000,70373,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2789
141,car,honda,jazz,petrol,2017,chennai,80000,82238,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4753
142,car,honda,jazz,petrol,2017,chennai,80000,89843,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4790
143,car,honda,jazz,petrol,2017,chennai,80000,85834,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4230
144,car,honda,jazz,petrol,2017,chennai,80000,88433,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4875
145,car,honda,jazz,petrol,2017,chennai,80000,82363,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4976
146,car,honda,jazz,petrol,2017,chennai,80000,83462,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4679
147,car,honda,jazz,petrol,2017,chennai,80000,82346,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4312
148,car,honda,jazz,petrol,2017,chennai,80000,89437,1,1,1,1,0,0,1,1,0,0,0,0,0,0,4068
149,car,honda,jazz,petrol,2017,chennai,80000,90327,1,1,1,1,0,0,1,1,0,0,0,0,0,0,5084
150,car,honda,jazz,petrol,2017,chennai,80000,82462,1,1,1,0,0,0,1,1,0,0,0,0,0,0,5866
151,car,honda,jazz,petrol,2017,chennai,80000,81482,1,1,1,0,0,0,1,1,0,0,0,0,0,0,5238
152,car,honda,jazz,petrol,2017,chennai,100000,122342,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3725
153,car,honda,jazz,petrol,2017,chennai,100000,102378,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3248
154,car,honda,jazz,petrol,2017,chennai,100000,113247,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3743
155,car,honda,jazz,petrol,2017,chennai,100000,137822,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3469
156,car,honda,jazz,petrol,2017,chennai,100000,129773,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3468
157,car,honda,jazz,petrol,2017,chennai,100000,90239,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3894
158,car,honda,jazz,petrol,2017,chennai,100000,94824,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3725
159,car,honda,jazz,petrol,2017,chennai,100000,96348,1,1,1,1,0,1,1,0,0,0,0,0,0,0,3743
160,car,honda,jazz,petrol,2017,chennai,100000,94378,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3804
161,car,honda,jazz,petrol,2017,chennai,100000,99947,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3479
162,car,honda,amaze,diesel,2016,mumbai,10000,10021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2798
163,car,honda,amaze,diesel,2016,mumbai,10000,10005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2680
164,car,honda,amaze,diesel,2016,mumbai,10000,9980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2750
165,car,honda,amaze,diesel,2016,mumbai,10000,10100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2700
166,car,honda,amaze,diesel,2016,mumbai,10000,11004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2800
167,car,honda,amaze,diesel,2016,mumbai,10000,10078,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2500
168,car,honda,amaze,diesel,2016,mumbai,10000,12001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2750
169,car,honda,amaze,diesel,2016,mumbai,10000,10003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2700
170,car,honda,amaze,diesel,2016,mumbai,10000,9800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2702
171,car,honda,amaze,diesel,2016,mumbai,10000,10302,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2720
172,car,honda,amaze,diesel,2016,mumbai,10000,10288,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2800
173,car,honda,amaze,diesel,2016,mumbai,10000,10003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2770
174,car,honda,amaze,diesel,2016,mumbai,10000,10200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3300
175,car,honda,amaze,diesel,2016,mumbai,10000,10123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3450
176,car,honda,amaze,diesel,2016,mumbai,10000,9992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3250
177,car,honda,amaze,diesel,2016,mumbai,10000,10675,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3500
178,car,honda,amaze,diesel,2016,mumbai,10000,13987,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6500
179,car,honda,amaze,diesel,2016,mumbai,10000,14567,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5500
180,car,honda,amaze,diesel,2016,mumbai,10000,11002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7000
181,car,honda,amaze,diesel,2016,mumbai,10000,12347,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5500
182,car,honda,amaze,diesel,2016,mumbai,20000,20003,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5300
183,car,honda,amaze,diesel,2016,mumbai,20000,17890,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5500
184,car,honda,amaze,diesel,2016,mumbai,20000,23000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5200
185,car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5350
186,car,honda,amaze,diesel,2016,mumbai,20000,18907,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5400
187,car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5500
188,car,honda,amaze,diesel,2016,mumbai,20000,19009,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5500
189,car,honda,amaze,diesel,2016,mumbai,20000,19998,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5300
190,car,honda,amaze,diesel,2016,mumbai,20000,23212,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5250
191,car,honda,amaze,diesel,2016,mumbai,20000,18989,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5350
192,car,honda,amaze,diesel,2016,mumbai,20000,19878,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5200
193,car,honda,amaze,diesel,2016,mumbai,20000,22398,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5300
194,car,honda,amaze,diesel,2016,mumbai,20000,24567,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5420
195,car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,6500
196,car,honda,amaze,diesel,2016,mumbai,20000,22009,1,1,1,0,1,1,1,0,0,0,0,0,0,0,7100
197,car,honda,amaze,diesel,2016,mumbai,20000,20009,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5900
198,car,honda,amaze,diesel,2016,mumbai,20000,24509,1,1,1,0,1,1,1,0,0,0,0,0,0,0,6100
199,car,honda,amaze,diesel,2016,mumbai,20000,15559,1,1,1,0,1,1,1,0,0,0,0,0,0,0,8750
200,car,honda,amaze,diesel,2016,mumbai,20000,19000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,8800
201,car,honda,amaze,diesel,2016,mumbai,20000,24500,1,1,1,0,1,1,1,0,0,0,0,0,0,0,7890
202,car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,9800
203,car,honda,amaze,diesel,2016,mumbai,30000,30002,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7000
204,car,honda,amaze,diesel,2016,mumbai,30000,30102,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7250
205,car,honda,amaze,diesel,2016,mumbai,30000,34543,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7100
206,car,honda,amaze,diesel,2016,mumbai,30000,31289,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7000
207,car,honda,amaze,diesel,2016,mumbai,30000,33298,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7150
208,car,honda,amaze,diesel,2016,mumbai,30000,32987,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7200
209,car,honda,amaze,diesel,2016,mumbai,30000,30007,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7000
210,car,honda,amaze,diesel,2016,mumbai,30000,29998,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7120
211,car,honda,amaze,diesel,2016,mumbai,30000,31980,1,1,1,0,0,0,0,0,0,1,0,0,0,0,6900
212,car,honda,amaze,diesel,2016,mumbai,30000,30009,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7300
213,car,honda,amaze,diesel,2016,mumbai,30000,34543,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7250
214,car,honda,amaze,diesel,2016,mumbai,30000,34543,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7000
215,car,honda,amaze,diesel,2016,mumbai,30000,28987,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7100
216,car,honda,amaze,diesel,2016,mumbai,30000,31654,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8300
217,car,honda,amaze,diesel,2016,mumbai,30000,31098,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8250
218,car,honda,amaze,diesel,2016,mumbai,30000,26789,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8400
219,car,honda,amaze,diesel,2016,mumbai,30000,32456,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8150
220,car,honda,amaze,diesel,2016,mumbai,30000,27865,1,1,1,0,0,0,0,0,0,1,0,0,0,0,10000
221,car,honda,amaze,diesel,2016,mumbai,30000,29876,1,1,1,0,0,0,0,0,0,1,0,0,0,0,9500
222,car,honda,amaze,diesel,2016,mumbai,30000,31245,1,1,1,0,0,0,0,0,0,1,0,0,0,0,9870
223,car,honda,amaze,diesel,2016,mumbai,30000,33233,1,1,1,0,0,0,0,0,0,1,0,0,0,0,9100
224,car,honda,amaze,diesel,2016,mumbai,40000,40100,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6000
225,car,honda,amaze,diesel,2016,mumbai,40000,43221,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6950
226,car,honda,amaze,diesel,2016,mumbai,40000,41098,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6250
227,car,honda,amaze,diesel,2016,mumbai,40000,42222,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6000
228,car,honda,amaze,diesel,2016,mumbai,40000,43766,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6100
229,car,honda,amaze,diesel,2016,mumbai,40000,41787,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6200
230,car,honda,amaze,diesel,2016,mumbai,40000,42234,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6150
231,car,honda,amaze,diesel,2016,mumbai,40000,42656,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6100
